Query,KCC Ans
How do I control aphids in mustard?,"To control aphids in mustard, spray Imidacloprid at 0.5 ml per liter of water after sunset. Use yellow sticky traps to monitor pest levels."
How do I set up a dairy farm?,"To set up a dairy farm, select a well-ventilated site, choose high-yield breeds like Sahiwal, ensure proper housing and feed management, and vaccinate regularly. Contact a KVK for detailed guidance."
How do I control powdery mildew in mustard?,"To control powdery mildew in mustard, spray Dithane M-45 at 2.5 grams per liter of water every 7-10 days. Ensure good air circulation."
How do I treat indigestion in goats?,"For goat indigestion, administer Rumen Bolus (1 bolus twice daily) and Himalayan Batisa (10 grams daily). Consult a veterinarian for severe cases."
How do I treat habitual abortion in cows?,"For habitual abortion in cows, administer Nutrica Bolus (2 boluses twice daily for 15 days) and Projna Capsules (3 capsules, repeated on day 10). Consult a veterinarian."
How do I control stem borers in wheat?,"To control stem borers in wheat, spray Malathion 50 EC at 2 ml per liter of water every 12 days. Use pheromone traps to monitor pests."
How do I collect honey from the wild?,There's no scientific method for wild honey collection. Contact SIRD Pantnagar University for scientific beekeeping training and methods.
How do I get a loan for fish farming?,"For a fish farming loan, contact the marketing and recovery officer at SBI or another nationalized bank for scheme details and applications."
How do I ripen tomatoes early?,"To ripen tomatoes early, spray Ethrel at 500 ppm (0.5 ml per liter of water) on fruits about a month before normal harvest. Ensure even application."
How do I make amla juice?,"To make amla juice, contact your District Agriculture Office's Horticulture Inspector for training on processing and preservation techniques."
What are some micronutrients for crops?,"Key micronutrients include Trecel, Agromin, Borax, and Zinc Sulphate. Apply based on soil test results and consult a KVK for specific recommendations."
Where can I get vanilla cultivation training?,"For vanilla cultivation and marketing training, contact the Director of State Institute of Rural Development Uttarakhand at 0135-2332138 or 2233496. For marketing, reach Dr. Habarua (CEOSFAC, Dehradun) at 0135-2333560 or Mr. Arkadas (Uttarakhand State Agricultural Marketing Board) at 0135-2470498."
How do I control aphids in my crop?,"To control aphids, spray Dimethoate 40 EC at 0.5 ml per liter of water. Apply after sunset and use yellow sticky traps to monitor pests."
My tomato leaves are curling. What's wrong?,"For curling tomato leaves, spray Dimethoate at 0.5 ml per liter of water to control pests. Check for viral infections and ensure proper irrigation."
There are insects in my amla crop. How do I control them?,"To control insects in amla, spray Quinalphos at 0.2 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How should I irrigate my wheat crop?,Irrigate wheat every month before the milking stage to ensure healthy growth. Use flood or sprinkler systems and avoid waterlogging.
There are pests on my gourd leaves. How do I control them?,"To control pests on gourd leaves, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How do I control beetles in snake gourd?,"To control beetles in snake gourd, spray Spinosad at 0.5 ml per liter of water with neem oil at 2 ml per liter. Apply early in the morning."
What's the spacing for bamboo crops?,"For thornless bamboo, maintain a spacing of 13 x 17 feet between plants to ensure healthy growth and good air circulation."
There's rot in my guava. What should I do?,"For guava rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
My mustard has scorched leaves. What's wrong?,"For scorched mustard leaves, spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and check for fungal issues."
When's the best time to sow onions?,Sow onions from October 15 to November 15 for optimal growth. Use well-drained soil and treat seeds with Thiram.
My pomegranate plants aren't growing well. What should I do?,"For slow-growing pomegranates, apply a balanced fertilizer (100 kg nitrogen, 50 kg phosphorus, 50 kg potassium per hectare) and irrigate regularly."
There are diseases in my chili plants. What should I do?,"For chili diseases, drench with Carbendazim 50 WP at 2 grams per liter of water. Remove affected parts and ensure good drainage."
There's a leaf tower in my garlic crop. What's wrong?,"For leaf tower (likely pests or disease) in garlic, spray Malathion 50 EC at 1 ml per liter of water. Apply early in the morning and use traps."
My crop leaves are shrinking. What should I do?,"For shrinking leaves, spray Spinosad at 0.5 ml per liter of water to control pests. Check for nutrient deficiencies and ensure proper irrigation."
How do I control fruit and shoot borers in brinjal?,"To control fruit and shoot borers in brinjal, spray Diamethoate 100 EC at 0.2 ml per liter of water every 7-10 days. Use pheromone traps."
When's the best time to sow lentils?,Sow lentils from mid-October to mid-November for optimal growth. Use well-drained soil and treat seeds with Rhizobium culture.
How do I control weeds in maize?,"For weed control in maize, hand-weed regularly to avoid competition. Apply Atrazine at 1 kg per hectare pre-emergence for early control."
My guava plants are drying up. What's wrong?,"For drying guava plants, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
My chilies are turning black. What's wrong?,"For blackening chilies, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
How do I control dieback in chilies?,"To control dieback in chilies, spray Metalaxyl-Mancozeb at 2.5 grams per liter of water every 7-10 days. Remove affected parts and ensure drainage."
How do I control weeds in vegetables?,"For weed control in vegetables, apply 2,4-D at 0.8 kg per acre pre-emergence. Hand-weed regularly for sustainability and crop safety."
There are fruit borers in my bitter gourd. How do I control them?,"To control fruit borers in bitter gourd, spray Cartap Hydrochloride at 1 gram per liter of water. Apply early in the morning and use traps."
There's a moth in my mango crop. How do I control it?,"To control moths in mango, spray Imidacloprid at 0.2 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My cauliflower is turning yellow. What's wrong?,"For yellowing cauliflower, spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and check for nutrient deficiencies."
There are fruit spots on my grapefruit. What should I do?,"For fruit spots on grapefruit, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected fruits and ensure drainage."
My brinjal is wilting. What's wrong?,"For wilting brinjal, spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
How do I get financial help for fish farming?,"For financial help with fish farming, contact your District Fisheries Development Authority for loan schemes and subsidies."
How do I control weeds in my pea crop?,"For weed control in peas, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence for early control."
How do I control pests in my cauliflower?,"To control pests in cauliflower, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How do I prevent insect pests in my house?,"To prevent household pests, spray Quinalphos at 0.2 ml per liter of water in affected areas. Keep the house clean and seal entry points."
There are pests in my flaxseed crop. How do I control them?,"To control pests in flaxseed, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How do I control weeds in my tomato crop?,"For weed control in tomatoes, hand-weed regularly to avoid competition. Apply Pendimethalin at 2.5 grams per liter of water pre-emergence."
When's the best time to sow maize?,"Sow maize in March for optimal growth. Use well-drained soil and apply 100 kg nitrogen, 90 kg DAP, and 33 kg MOP per hectare."
How do I control weeds in my banana crop?,"For weed control in bananas, hand-weed regularly to avoid competition. Avoid chemical herbicides near fruiting to ensure food safety."
There's blackness in my banana. What should I do?,"For blackness in bananas, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected leaves and ensure drainage."
When's the best time to sow chilies?,Sow chilies in June-July for optimal growth. Use well-drained soil and treat seeds with Carbendazim at 2 grams per liter of water.
My lemon plant smells sweet. What should I do?,A sweet smell in lemon plants may indicate pests. Apply Malathion 5% dust at 0.5 kg per hectare and check for pest infestations.
I'm having trouble marketing buffalo milk. Who can I contact?,"For buffalo milk marketing, contact your District Milk Marketing Officer for guidance on cooperatives and market access."
My cow is giving milk. How do I improve production?,"To improve cow milk production, provide 50 grams of Glyco Powder daily with a balanced diet. Consult a veterinarian for health checks."
My buffalo's womb is swelling and it's stopped chewing cud. What should I do?,"For buffalo womb swelling and cud issues, consult a veterinarian. They may recommend 50 ml turpentine oil with 400 ml linseed oil as a temporary measure."
My buffalo is weak. What should I do?,"For buffalo weakness, provide 50 grams of mineral mixture daily with green fodder. Consult a veterinarian for a thorough health check."
How do I control weeds in bottle gourds?,"For weed control in bottle gourds, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
How should I apply urea to bhindi?,"For bhindi, apply 20 kg of urea per hectare as a top dressing to address nitrogen deficiency. Ensure proper irrigation after application."
How should I irrigate my brinjal crop?,Irrigate brinjal every 10 days to maintain soil moisture. Use drip or furrow irrigation to avoid waterlogging.
How do I control weeds in gourds?,"For weed control in gourds, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence for early control."
What's the NPK recommendation for potatoes?,"For potatoes, apply 120 kg nitrogen, 100 kg phosphorus, and 100 kg potassium per hectare. Split applications and use compost for soil health."
There's blackness in my gourd. What should I do?,"For blackness in gourds, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
How do I control weeds in my radish crop?,"For weed control in radish, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence for early control."
What's the sowing season for chilies?,Sow chilies in June-July for optimal growth. Use well-drained soil and treat seeds with Carbendazim at 2 grams per liter of water.
What are good chili varieties?,Top chili varieties include Pusa Jwala and Pant Spicy. Choose based on your climate and market demand.
My buffalo has digestion issues. What should I do?,"For buffalo digestion issues, administer Osto CA at 200 ml in 2 liters of water. Consult a veterinarian for a thorough diagnosis."
What are good groundnut varieties?,"Top groundnut varieties include Chandra, Chitrakaushal, and Type-28. Choose based on your climate and market demand."
How do I control pests in my moong crop?,"To control pests in moong, spray Spinosad at 0.5 ml per liter of water (15 liters per hectare in 700 liters). Use yellow sticky traps to monitor pests."
"When should I sow sugarcane, and what are good varieties?",Sow sugarcane in March-April using varieties like COS 8436 and COS 8432. Treat sets with Carbendazim at 2 grams per liter of water.
What are good peanut varieties?,"Top peanut varieties include Chandra, Chitrakaushal, Type-64, and Type-28. Choose based on your climate and market demand."
How do I control nettle grass?,"To control nettle grass, spray Glyphosate at 1 ml per liter of water pre-emergence. Hand-weed regularly for sustainability."
What are good fish varieties for farming?,"Top fish varieties for farming include Silver Carp, Common Carp, Grass Carp, and Rohu. Consult your district fisheries office for suitability."
When's the best time to plant bananas?,Plant bananas in July-August for optimal growth. Use well-drained soil and ensure regular irrigation during establishment.
What are good banana varieties?,Top banana varieties include Jargon and Deception. Choose based on your climate and market demand.
When should I plant bananas?,Plant bananas in July-August for optimal growth. Use well-drained soil and ensure regular irrigation during establishment.
How do I control weeds in bitter gourd?,"For weed control in bitter gourd, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
What are good banana varieties?,"Top banana varieties include Martaban, Harichal, and Champa. Choose based on your climate and market demand."
What's the banana planting season?,Plant bananas in July-August for optimal growth. Use well-drained soil and ensure regular irrigation during establishment.
How should I irrigate my corn crop?,Irrigate corn every 15 days using a flood system to maintain soil moisture. Avoid waterlogging and ensure proper drainage.
What are good peanut varieties?,"Top peanut varieties include Chandra, Kaushal, Type-64, and Type-28. Choose based on your climate and market demand."
My amla fruits are falling. What should I do?,"To prevent amla fruit fall, spray Planofix at 0.5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer."
What are good groundnut varieties?,Top groundnut varieties include Chandra and Kaushal. Choose based on your climate and market demand.
When's the best time to plant roses?,Plant rose seedlings in July-October for optimal growth. Use well-drained soil and ensure regular watering during establishment.
How do I control weeds in French beans?,"For weed control in French beans, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
What's the irrigation period for bhindi?,Irrigate bhindi every week to maintain soil moisture. Use drip or furrow irrigation to avoid waterlogging.
What are good maize varieties?,Top maize varieties include HIM-129 and Vivek Shankar-5923. Choose based on your climate and market demand.
How do I control fruit flies in tomatoes?,"To control fruit flies in tomatoes, spray Spinosad at 0.5 ml per liter of water. Use pheromone traps and remove affected fruits."
How do I control pests in maize?,"To control pests in maize, apply Imidacloprid at 0.5 ml per liter of water (15-20 kg per hectare) before sowing. Use yellow sticky traps."
My dog has a fever. What should I do?,"For a dog with fever, consult a veterinary surgeon immediately for proper diagnosis and treatment. Keep the dog hydrated and comfortable."
There's a black stage in my brinjal crop. What should I do?,"For black stage (likely fungal) in brinjal, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure good drainage."
There's dry rot in my roses. What should I do?,"For dry rot in roses, spray Copper Oxychloride at 3 ml per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
When should I sow amla?,Sow amla in the rainy season (July-August) for optimal growth. Use well-drained soil with a pH of 8-11.
How do I control mealybugs in mango?,"To control mealybugs in mango, apply Folidol 2% dust (50 grams) around the tree trunk on compacted soil. Spray Imidacloprid at 0.5 ml per liter."
When's the best time to sow groundnuts?,Sow groundnuts in June-July for optimal growth. Use well-drained soil and treat seeds with Thiram at 2 grams per kg.
How do I control weeds in cauliflower?,"For weed control in cauliflower, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
There's a hopper in my mango crop. How do I control it?,"To control hoppers in mango, spray Imidacloprid at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How often should I irrigate brinjal?,Irrigate brinjal every 7 days to maintain soil moisture. Use drip irrigation for efficient water use and to avoid waterlogging.
How often should I irrigate gourds?,Irrigate gourds every 7 days to maintain soil moisture. Use drip or furrow irrigation to avoid waterlogging.
What's the seed rate for ash gourd?,"For ash gourd, use 6-8 kg of seeds per hectare. Treat seeds with Carbendazim at 2 grams per liter of water before sowing."
How do I cultivate bhindi?,"For bhindi cultivation, select well-drained soil, sow in June-July, apply 100 kg nitrogen, 50 kg phosphorus, and 50 kg potassium per hectare, irrigate weekly, and manage pests with Spinosad."
How do I prepare a paddy nursery?,"For a paddy nursery, treat soil with Carbendazim at 2 grams per liter of water before sowing. Sow treated seeds, manage water manually, and weed regularly."
How do I treat buffalo infertility?,"For buffalo infertility, consult a veterinarian for treatment. Provide 50 grams of mineral mixture daily to improve reproductive health."
How do I sow paddy and prepare its nursery?,"For paddy, treat soil with Carbendazim at 2 grams per liter of water, sow treated seeds in a nursery, and transplant after 35 days. Manage water and weeds manually."
How should I irrigate sugarcane?,"Irrigate sugarcane 35 days after sowing, then every 20-25 days depending on soil moisture. Use furrow irrigation to avoid waterlogging."
How do I control weeds in citrus gardens?,"For weed control in citrus gardens, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
My bitter gourd seeds aren't germinating. What should I do?,"For poor bitter gourd germination, sow treated seeds (Carbendazim at 2 grams per liter of water) in well-drained soil and provide light irrigation."
What are good bitter gourd varieties?,Top bitter gourd varieties include Arka Harit and Kalyanpur Perennial. Choose based on your climate and market demand.
When's the best time to sow arvi?,Sow arvi in April-May for optimal growth. Use well-drained soil and ensure regular irrigation during early stages.
How often should I irrigate maize?,Irrigate maize every 15 days to maintain soil moisture. Use flood or drip irrigation and ensure proper drainage.
How do I start beekeeping?,"To start beekeeping, contact your nearest Krishi Vigyan Kendra (KVK) for training on hive management, bee breeds, and marketing."
How do I start a poultry farm?,"To start a poultry farm, contact your nearest Krishi Vigyan Kendra (KVK) for guidance on housing, breeds, feed, and disease management."
How do I contact the Fisheries Department?,"To contact the Fisheries Department, reach out to your nearest Krishi Vigyan Kendra (KVK) or GB Pant University in Pantnagar for resources."
My tomatoes aren't growing well. What should I do?,"For poor tomato growth, spray Malathion at 2 ml per liter of water for pests and apply 100 kg nitrogen, 60 kg P2O5, and 60 kg K2O per hectare."
How often should I irrigate bhindi?,Irrigate bhindi every week to maintain soil moisture. Use drip or furrow irrigation to avoid waterlogging.
What are good buffalo breeds?,Top buffalo breeds include Murrah and Bhadavari. Choose based on your region and farming goals.
My bhindi leaves are yellowing. What should I do?,"For yellowing bhindi leaves, spray Spinosad at 0.5 ml per liter of water for pests and remove affected plants. Check for nutrient deficiencies."
When's the best time to sow turmeric?,Sow turmeric in May-June for optimal growth. Use well-drained soil and treat rhizomes with Carbendazim at 2 grams per liter of water.
What's the NPK recommendation for bananas?,"For bananas, apply 75 grams nitrogen, 50 grams phosphorus, and 75 grams potassium per plant. Split applications for better uptake."
What are good fish varieties for farming?,"Top fish varieties for farming include Rohu, Silver Carp, Common Carp, and Grass Carp. Consult your district fisheries office."
How should I irrigate cabbage?,Irrigate cabbage weekly using a canal-ring system to maintain soil moisture. Avoid waterlogging and ensure proper drainage.
What's the planting distance for aloe vera?,"For aloe vera, maintain a plant-to-plant distance of 1.25 feet and a line-to-line distance of 2.5 feet for healthy growth."
How do I control pests in cabbage?,"To control pests in cabbage, spray Malathion at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My bhindi is yellowing. What should I do?,"For yellowing bhindi, spray Spinosad at 0.5 ml per liter of water for pests. Ensure proper irrigation and check for nutrient deficiencies."
There are black spots in my bitter gourd. What should I do?,"For black spots in bitter gourd, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
My bitter gourd is turning yellow. What's wrong?,"For yellowing bitter gourd, spray Mancozeb at 2 grams per liter of water for fungal issues and Spinosad at 0.5 ml per liter for pests."
What are good mango varieties?,"Top mango varieties include Dashahari, Rampali, Langra, and Totapari. Choose based on your climate and market demand."
When's the best time to sow bitter gourd?,Sow bitter gourd in June-July for optimal growth. Use well-drained soil and treat seeds with Carbendazim.
My lemon crop is drying. What should I do?,"For drying lemon crops, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
How do I control weeds in gladiolus?,"For weed control in gladiolus, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
When's the best time to sow jowar?,"Sow jowar in June-July for optimal growth. Use well-drained soil and apply 80 kg nitrogen, 40 kg phosphorus, and 40 kg potassium per hectare."
What are good banana varieties?,"Top banana varieties include Harichal, Martaban, and Champa. Choose based on your climate and market demand."
What are good paddy varieties?,"Top paddy varieties include Pant Shankar Dhan-1, Govind, Saket-4, and PRH-10. Choose based on your climate and market demand."
How do I control weeds in bhindi?,"For weed control in bhindi, hand-weed regularly to avoid competition. Apply Pendimethalin at 1 kg per hectare pre-emergence."
There are aphids on my ladyfinger crop. How do I control them?,"To control aphids in ladyfinger, spray Imidacloprid at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
There are caterpillars on my French beans. What should I do?,"To control caterpillars in French beans, spray Profenofos at 2.7 ml per liter of water (40 ml in 15 liters). Apply early in the morning and use yellow sticky traps."
There are caterpillars in my grape crop. How can I control them?,"To control caterpillars in grapes, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
My bitter gourd is rotting. What's the solution?,"For bitter gourd rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
How can I control weeds in my pigeon pea crop?,"For weed control in pigeon pea, hand-weed regularly to avoid competition. This is the most sustainable method for healthy crop growth."
How often should I irrigate my ladyfinger crop?,Irrigate ladyfinger every week to maintain soil moisture. Use drip or furrow irrigation to avoid waterlogging.
My plum trees have pests. How do I control them?,"To control pests in plum, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
What are good buffalo breeds?,Top buffalo breeds include Bhadavari and Murrah. Choose based on your region and farming goals.
How do I control leaf spot in my grape crop?,"To control leaf spot in grapes, spray Mancozeb 75 WP at 2 grams per liter of water every 7-10 days. Remove affected leaves and ensure good drainage."
What are the best buffalo varieties?,Top buffalo varieties include Bhadavari and Murrah. They're known for high milk yield and adaptability.
When's the best time to sow bottle gourd?,Sow bottle gourd in July for optimal growth. Use well-drained soil and ensure regular irrigation during early stages.
There are insects on my bitter gourd. How do I control them?,"To control insects in bitter gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I control pests in my walnut crop?,"To control walnut pests, spray Quinalphos 20 EC at 25 ml per liter of water, repeating every 10 days. Use yellow sticky traps to monitor pests."
My ladyfinger crop is infested with insects. What should I do?,"To control insects in ladyfinger, spray Quinalphos at 1 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How can I control termites in my rose garden?,"To control termites in roses, drench the soil with Imidacloprid at 0.3 ml per liter of water. Add neem cake at 250 kg per hectare for long-term control."
What are good ladyfinger varieties?,Top ladyfinger varieties include Pusa Sawani and Pusa Velvet. Choose based on your climate and market demand.
How do I control root rot in my paddy crop?,"To control root rot in paddy, spray Pseudomonas fluorescens at 25 grams per liter of water. Ensure good drainage and avoid waterlogging."
What are good Pusa sowing varieties?,Top Pusa varieties include Pusa Delicious and Pusa Glory. They're great for various climates and yield well.
When's the best time to sow tomatoes?,Sow tomatoes in July-August for optimal growth. Use well-drained soil and treat seeds with Carbendazim.
What are good mango varieties for planting?,"Top mango varieties include Amrapali, Dashahari, Chausa, and Langra. Choose based on your climate and market demand."
When should I sow cabbage?,Sow cabbage in September for optimal growth. Use well-drained soil and treat seeds with Carbendazim.
My cow has itchy skin. What should I do?,"For cow skin itch, wet the skin, apply Ichagon, and wash with clean water 2-3 times. Consult a veterinarian for persistent issues."
When's the best time to sow rice?,Sow paddy in July for optimal growth. Use well-drained soil and treat seeds with Carbendazim for better germination.
What fish breeds are good for farming?,"Top fish breeds include Common Carp, Silver Carp, and Rohu. Consult your district fisheries office for suitability."
When's the best time to propagate bananas?,The best season for banana cultivation is July-September. Use well-drained soil and ensure regular irrigation.
What are good cow breeds?,"Top cow breeds include Sindhi, Nagari, and Jersey. Choose based on your region and farming goals."
My ginger crop is drying out. What's wrong?,"For drying ginger, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
How can I control weeds in my bitter gourd crop?,"For weed control in bitter gourd, hand-weed regularly to avoid competition. This is the most sustainable method."
My brinjal crop is drying up. What should I do?,"For drying brinjal, spray Dimethoate at 2 grams per liter of water for pest control. Ensure proper irrigation and check for root issues."
There are pests in my crop. How do I control them?,"To control pests, spray Imidacloprid at 1 ml per liter of water. Apply early in the morning and use yellow sticky traps to identify the pest."
How can I control weeds in my bottle gourd crop?,"For weed control in bottle gourd, hand-weed regularly to avoid competition. This is the most sustainable method for healthy crop growth."
My goat is suffering from heat stress. What should I do?,"For goat heat stress, consult a veterinarian and give 12 Albendazole tablets and 20 grams of mineral mixture daily. Ensure shade and clean water."
My bottle gourd crop has black spots. What's wrong?,"For black spots on bottle gourd, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
There are pests in my kharif cabbage. How do I control them?,"To control pests in kharif cabbage, spray Spinosad at 2 grams per liter of water. Apply early in the morning and use yellow sticky traps."
When's the best time to sow amla?,Sow amla in July-August for optimal growth. Use well-drained soil with a pH of 8-11.
My banana plants are drying up. What should I do?,"For drying banana plants, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
There are pests in my bottle gourd crop. How do I control them?,"To control pests in bottle gourd, spray Malathion at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
How can I control weeds in my cabbage crop?,"For weed control in cabbage, hand-weed regularly to avoid competition. This is the most sustainable method for healthy crop growth."
What are good banana varieties?,"Top banana varieties include Hari Chhal, Alpaan, and Malbhog. Choose based on your climate and market demand."
When's the best time to propagate gladiolus?,Plant gladiolus in September-October for optimal growth. Use well-drained soil and ensure regular watering.
How much urea should I apply to my okra crop?,"For okra, apply 20 kg of urea per hectare as a top dressing to address nitrogen deficiency. Ensure proper irrigation after application."
There are insects in my chili crop. How do I control them?,"To control insects in chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There are insects in my gourd crop. How do I control them?,"To control insects in gourds, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
What are good bottle gourd varieties?,"Top bottle gourd varieties include Azad bottle gourd-1, Pant Shankar bottle gourd-1, and Pusa Samar. Choose based on your climate and market demand."
My buffalo is having heat stability issues. What should I do?,"For buffalo heat issues, consult a veterinarian and provide 50 grams of mineral mixture daily. Ensure shade and clean water."
What are good amla varieties?,Top amla varieties include Chakayya and Banarasi-7. They're great for high yields and quality fruit.
How can I control weeds in my apple orchards?,"To control weeds in apple orchards, spray Paraquat at 50 grams in 10 liters of water per kanal. Hand-weed for sustainability."
My cow is weak. What should I do?,"For cow weakness, provide 1 kg concentrate per kg of milk produced, mixed with green fodder. Consult a veterinarian for a health check."
There are insects in my bottle gourd crop. How do I control them?,"To control insects in bottle gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I control fungal issues in my mint crop?,"To control fungal issues in mint, spray Carbendazim at 2 grams per liter of water. Apply every 7-10 days and ensure good drainage."
My mustard crop has painted bug insects. How do I control them?,"To control painted bugs in mustard, dust Methyl Parathion 2% at 25 kg per hectare. Use yellow sticky traps to monitor pests."
How do I control fruit flies in my Malta crop?,"To control Malta fruit flies, spray Spinosad at 600 ml per hectare in 1000 liters of water. Use pheromone traps and remove affected fruits."
How do I prepare a healthy diet for my cow at home?,"For a healthy cow diet, mix 40 kg grain, 30 kg wheat bran, 27 kg khali, 1 kg salt, 1 kg karia, and 1 kg mineral lawn. Consult a veterinarian."
How can I improve my buffalo's milk production?,"To improve buffalo milk, provide Ostacalcium at 40-45 ml and 30-35 grams of mineral mixture daily. Consult a veterinarian for a balanced diet."
There are insects on my soybean leaves. How do I control them?,"To control insects on soybean leaves, spray Spinosad at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
What are good cucumber varieties?,"Top cucumber varieties include Eloquent, Cool, and Priya. Choose based on your climate and market demand."
There's a leaf folder in my paddy crop. How do I control it?,"To control leaf folders in paddy, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
What are good paddy varieties for non-irrigated areas?,"Top paddy varieties for non-irrigated areas include VL Dhan-207, VL Dhan-208, VL Dhan-209, and Pant Mazhera Dhan-7."
What are good rice varieties for hilly areas?,"Top rice varieties for hilly areas include VL Dhan-206, Pant Mazhera Dhan-7, and Vivek Dhan-154. They're suited for tough conditions."
There are pests in my moong crop. How do I control them?,"To control pests in moong, spray Spinosad at 500 ml in 150 liters of water per hectare. Avoid Deltamethrin and use yellow sticky traps."
There's a pest issue in my crop. How do I control it?,"To control pests, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to identify the pest."
My ladyfinger crop has insects. What should I do?,"To control insects in ladyfinger, spray Malathion at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How can I feed my calf if the cow's milk is low?,"For low cow milk, hand-feed the calf with a milk replacer or diluted cow milk. Consult a veterinarian for a proper feeding plan."
There are insects in my maize crop. How do I control them?,"To control insects in maize, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
My moong crop is affected by pests. How do I control them?,"To control pests in moong, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
My cabbage has sprouted and has pests. What should I do?,"To control pests in sprouted cabbage, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There are pests in my millet crop. How do I control them?,"To control pests in millet, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I control pests in my radish crop?,"To control pests in radish, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I control pests in my rose crop?,"To control pests in roses, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There are pests in my millet crop. What's the solution?,"To control pests in millet, apply Imidacloprid at 20-22 kg per hectare before sowing. Use yellow sticky traps to monitor pests."
How do I control fruit rot in my brinjal crop?,"To control fruit rot in brinjal, spray Mancozeb at 0.25% (2.5 grams per liter of water). Apply every 7-10 days and remove affected parts."
What pesticide should I use for brinjal during flowering?,"For insects in brinjal flowers, spray Malathion 50 EC at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
